"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"1";"26021";0;1177,5;1823
"2";"81017";0;95,5;0
"3";"PM41453";-1;75,9673070441523;5685294
"4";"80008";0;73,4523809523809;1359
"5";"11033";0;71,7697437697438;7422895
"6";"67013";0;70,568988173456;1949153
"7";"24007";0;68,6666666666667;401
"8";"52008";0;68,1872964169381;502310
"9";"29302";0;66,2564705882353;236964
"10";"16029";0;65,2744883040936;74016
"11";"90014";0;64,3377208174576;22134679
"12";"06035";0;62,788089148703;3266898
"13";"PM20976";73,5617637159206;60,0838101649276;4250856
"14";"17035";0;59,3246387028551;598290
"15";"36018";0;58,8148148148148;18390
"16";"15015";0;57,6553043478261;1222957
"17";"10021";0;57,5192241080707;1106160
"18";"18301";0;56,1115344648424;1826884
"19";"22300";0;55,9048611111111;2605038
"20";"32301";0;54,3940493468795;913761
"21";"15301";0;54,0742817098809;2166634
"22";"06306";0;54,0664800559832;1696079
"23";"06307";0;54,0661301609517;1696069
"24";"56407";0;53,5920564216778;634928
"25";"40005";0;53,4987636877428;1800655
"26";"97402";0;52,9608590232075;2292443
"27";"97301";0;52,9601662625563;2292443
"28";"06300";0;52,5943396226415;1708326
"29";"15303";0;52,2720946416145;1569593
"30";"PM10981";82,8609895658028;52,2073375967688;10990115
"31";"18303";0;52,1513682022861;1955192
"32";"57010";0;51,8733031674208;1098882
"33";"18006";0;51,7646239554318;2627859
"34";"03005";0;51,6666666666667;3100
"35";"12047";0;51,6666666666667;1550
"36";"41404";0;50,9562841530055;456705
"37";"97105";0;50,8712259003274;1568285
"38";"PM11101";80,2319865319865;50,573063973064;7048270
"39";"18302";0;50,2965015587115;1828806
"40";"24010";0;50,25;141
"41";"PM10945";71,9845169976439;49,682261864692;3399493
"42";"38048";0;49,6142111601766;1105662
"43";"16303";0;49,3401454797367;2167610
"44";"17307";0;49,078281953585;1781125
"45";"01019";0;49;1550
"46";"03020";0;49;4650
"47";"03010";0;49;1550
"48";"03022";0;49;1550
"49";"03018";0;49;1550
"50";"PM31453";-1;48,9501179642737;6720436
"51";"97303";0;48,7691740412979;28676
"52";"41056";0;48,6449300102424;1005633
"53";"09012";0;48,5029632556302;1877079
"54";"16021";0;48,343163538874;520351
"55";"06301";0;48,1718518518519;17972
"56";"15302";0;48,1641476274165;1733347
"57";"15305";0;48,0215053763441;6813
"58";"16304";0;47,8465535157603;2344108
"59";"PM10091";80,4170313025917;47,5392123864019;9770725
"60";"18011";0;47,4721163837894;2313686
"61";"02043";0;47,4393624393624;1052874
"62";"15006";0;47,3885573885574;3473889
"63";"PM20041";82,7492426792326;47,2258498821945;9689962
"64";"15304";0;47,150417827298;1998742
"65";"PM42052";71,9888926287445;47,1316055200269;3397478
"66";"16301";0;46,8139616055846;2220616
"67";"PM10561";82,2636547538773;46,7960215778827;9549136
"68";"17308";0;46,6739431739432;2068258
"69";"03004";0;46,6666666666667;3100
"70";"03009";0;46,6666666666667;1550
"71";"62046";0;46,6255742725881;700990
"72";"97556";0;46,4794964028777;2246346
"73";"18020";0;46,3903706269484;1170269
"74";"21023";0;46,3593208593209;303867
"75";"12024";0;46;3088
"76";"02301";0;45,893314859716;951799
"77";"06305";0;45,8056806373398;1250013
"78";"12502";0;45,6666666666667;6176
"79";"11010";0;45,6666666666667;3100
"80";"03015";0;45,6666666666667;3100
"81";"16038";0;45,6540319583798;707958
"82";"01003";0;45,6469708302169;2764599
"83";"12004";0;45,3715277777778;3794187
"84";"43018";0;45,3062002078282;6550240
"85";"47402";0;45,2128966223132;551053
"86";"PM13041";58,9299899023898;45,197913160552;2674360
"87";"18016";0;45,108417041912;3060468
"88";"PM20233";75,3517334230899;45,009087849209;3048789
"89";"03021";0;45;4632
"90";"03006";0;45;3088
"91";"12055";0;45;4632
"92";"03019";0;45;4632
"93";"30006";0;45;3088
"94";"12019";0;45;4632
"95";"16514";0;44,8882681564246;1241973
"96";"PM21181";84,4252525252525;44,8393939393939;9086645
"97";"06027";0;44,8173943173943;3283831
"98";"36020";0;44,7358490566038;12957
"99";"17015";0;44,7300435413643;2930097
"100";"12023";0;44,6666666666667;4638
"101";"03002";0;44,6666666666667;3100
"102";"99001";0;44,6666666666667;7750
"103";"03014";0;44,6666666666667;3100
"104";"03013";0;44,6666666666667;1550
"105";"12020";0;44,6666666666667;1550
"106";"03008";0;44,6666666666667;3100
"107";"99002";0;44,6666666666667;9300
"108";"06007";0;44,6666666666667;4650
"109";"15001";0;44,6666666666667;1550
"110";"03001";0;44,6666666666667;3100
"111";"12046";0;44,6666666666667;3100
"112";"22010";0;44,6666666666667;1550
"113";"03023";0;44,6666666666667;1550
"114";"03003";0;44,6666666666667;3100
"115";"12021";0;44,6666666666667;3100
"116";"03011";0;44,6666666666667;3100
"117";"04026";0;44,6666666666667;1550
"118";"10008";0;44,6666666666667;3094
"119";"03016";0;44,6666666666667;3100
"120";"03007";0;44,6666666666667;3100
"121";"10033";0;44,6511950121233;550966
"122";"09015";0;44,6037891268534;2697957
"123";"21029";0;44,5925668634943;492542
"124";"32300";0;44,3529411764706;6520
"125";"18019";0;44,328714928992;1030761
"126";"10026";0;44,2570142015933;564356
"127";"90044";0;44,1651057925772;378898
"128";"PM11161";85,0905419050825;44,0511612251767;9022283
"129";"PM20473";72,3509777478085;43,9248145650708;2994929
"130";"22302";0;43,9239583333333;1767643
"131";"PM11071";87,8236284079435;43,7744867048132;11927655
"132";"14004";0;43,7631944444444;861257
"133";"93002";0;43,7131901840491;923007
"134";"16300";0;43,6972635954278;2112195
"135";"64403";0;43,6837256908905;319869
"136";"06029";0;43,6771735365431;2691429
"137";"02302";0;43,6241773467267;1886429
"138";"16018";0;43,5828135828136;751244
"139";"97306";0;43,5794853718717;270802
"140";"16035";0;43,5039916695592;3429365
"141";"46404";0;43,4261344251109;680988
"142";"18309";0;43,4022268615171;2514018
"143";"90033";0;43,3103567717354;1070160
"144";"44001";0;43,3002388263391;2142223
"145";"17005";0;43,2694013303769;2832827
"146";"60070";0;43,2536382536383;842986
"147";"13059";0;43,0770298403886;2106352
"148";"18021";0;43,0631286853972;217788
"149";"38004";0;43,0308910891089;331293
"150";"36022";0;43;29766
"151";"97100";0;43;1120
"152";"17306";0;42,9632836854867;1642769
"153";"22004";0;42,9201244813278;173707
"154";"15009";0;42,8528381219341;4788421
"155";"PM10021";76,1130932346011;42,7849209020532;8682876
"156";"16048";0;42,7360917941586;1722192
"157";"03012";0;42,6666666666667;4650
"158";"10003";0;42,6666666666667;4650
"159";"10001";0;42,6666666666667;3088
"160";"17010";0;42,6392931392931;3320095
"161";"17019";0;42,4837144837145;2775130
"162";"90040";0;42,4471770003464;735115
"163";"30028";0;42,4456408475165;1147035
"164";"16028";0;42,412786657401;2975643
"165";"16307";0;42,3370280568064;4089655
"166";"10002";0;42,3333333333333;1550
"167";"12022";0;42,3333333333333;1550
"168";"PM20722";77,5756146850791;42,2785449646346;8357829
"169";"67406";0;42,258543833581;222748
"170";"60020";0;42,2467532467532;0
"171";"10031";0;42,2428126082439;2293365
"172";"35017";0;42,2245762711864;486238
"173";"22303";0;42,1688672689368;1428135
"174";"16308";0;42,0024246622792;4433193
"175";"10500";0;42;4632
"176";"10011";0;42;6176
"177";"03017";0;42;1550
"178";"13018";0;41,9421720733427;2450599
"179";"PM23187";78,7849209020532;41,8286772130596;8361298
"180";"16026";0;41,8272273105745;2229386
"181";"92005";0;41,7695262483995;0
"182";"17045";0;41,7271200671704;2356180
"183";"13021";0;41,7256330211585;2097177
"184";"PM41452";86,0265903736116;41,7202961965668;8518040
"185";"61083";0;41,6793307772743;2132703
"186";"17018";0;41,6727400140154;976383
"187";"PM20001";100,494109727365;41,6374957926624;8658144
"188";"14008";0;41,626518569941;2088732
"189";"14018";0;41,5880794701987;677539
"190";"06302";0;41,5597506061656;1244386
"191";"PM10661";83,9296059279219;41,5341865948131;8478063
"192";"22301";0;41,5187630298819;1554275
"193";"13025";0;41,4622377622378;4575029
"194";"PM31891";88,691349713901;41,4473241332885;5688731
"195";"16036";0;41,3155136268344;3127659
"196";"16014";0;41,3099231306778;2580413
"197";"PM31881";82,6805789296533;41,2659037361158;5636103
"198";"PM21941";79,3606060606061;41,2626262626263;8452887
"199";"98012";0;41,1925302472383;1165063
"200";"06507";0;41,111880845168;4052442
"201";"97001";0;41,1111880845168;4053054
"202";"PM20912";77,6021541568496;41,0952541231908;5431410
"203";"PM20572";79,027983816588;41,0428186109238;10911727
"204";"09035";0;41,0055420852096;1409387
"205";"10004";0;40,966401108417;2297921
"206";"PM104431";65,644254713625;40,9263607257204;2797305
"207";"18008";0;40,9137512989262;5167154
"208";"05008";0;40,8589285714286;3678591
"209";"14021";0;40,7647058823529;1550
"210";"18304";0;40,7260131624524;4034976
"211";"97004";0;40,5704883962591;768455
"212";"PM10611";81,8615695520377;40,5692152239811;10980699
"213";"PM21081";85,8636822618647;40,4994951194884;10726047
"214";"05009";0;40,4980856247825;2480546
"215";"06015";0;40,3411846207135;3938670
"216";"PM11301";77,1835897435897;40,2933333333333;5281449
"217";"23001";0;40,2802216834084;2530513
"218";"20007";0;40,2327196943383;256773
"219";"01020";0;40,2209906477312;621946
"220";"09022";0;40,1839916839917;2252617
"221";"05019";0;40,1830201809325;3115169
"222";"34013";0;40,1585365853659;334742
"223";"36021";0;40,1296296296296;10485
"224";"09003";0;40,1291998614479;3397896
"225";"05708";0;40,0969006056288;3869785
"226";"97103";0;39,9809792180345;921350
"227";"21013";0;39,9480429511604;4560288
"228";"21009";0;39,8384050367261;2478085
"229";"51021";0;39,8333333333333;6465
"230";"51019";0;39,7733654231849;275339
"231";"PM40754";58,8305826877737;39,7224654765914;3856941
"232";"19008";0;39,7049418604651;801294
"233";"44022";0;39,6618881118881;2835206
"234";"84036";0;39,659793814433;1328699
"235";"41047";0;39,6566037735849;328397
"236";"09016";0;39,6379071379071;2506305
"237";"10005";0;39,6207137858642;2192969
"238";"13055";0;39,6;2564
"239";"97056";0;39,5975744211687;3821135
"240";"16009";0;39,5940215502259;407317
"241";"14044";0;39,586926286509;886115
"242";"17500";0;39,5714285714286;1359548
"243";"16302";0;39,5528229996536;476858
"244";"16008";0;39,5249826509368;2383795
"245";"44014";0;39,4404640054589;1436455
"246";"18013";0;39,419120193973;3869347
"247";"18017";0;39,398353614889;729047
"248";"16019";0;39,3607638888889;2579396
"249";"05010";0;39,3346276032474;3951304
"250";"98004";0;39,3028253083963;530172
"251";"01021";0;39,2608230892571;551294
"252";"41044";0;39,2418969634937;744649
"253";"61099";0;39,2229002153625;328208
"254";"PM13202";76,770784247728;39,1817569841804;7834478
"255";"PM13101";69,3574554022215;39,1716593739482;4686740
"256";"47534";0;39,0825656772433;1362309
"257";"PM20664";68,6884472886494;39,0801616705962;2615539
"258";"65034";0;39,0784715114295;692563
"259";"17007";0;39,0734326290267;2489894
"260";"61001";0;39,048290447656;1762038
"261";"06304";0;39,0315206096294;1026792
"262";"45013";0;38,9115134950461;398401
"263";"35016";0;38,8811915483201;670648
"264";"02303";0;38,8593695878074;1271352
"265";"60087";0;38,8511821974965;471589
"266";"14016";0;38,8264634568757;2913095
"267";"35031";0;38,8060270176654;617834
"268";"34009";0;38,7925430210325;627196
"269";"46406";0;38,7719358142711;235336
"270";"13040";0;38,7416166607836;2529736
"271";"82019";0;38,7324891175307;627362
"272";"18308";0;38,731732776618;638969
"273";"PM10341";84,6166273981824;38,6634129922585;7768841
"274";"PM20852";78,3867161159811;38,6523937963587;10014948
"275";"PM20026";75,3231235274318;38,6449007068327;5265956
"276";"51031";0;38,6429136975455;424657
"277";"21010";0;38,5957741600277;4560214
"278";"33011";0;38,5853827502598;677061
"279";"PM10711";87,1566183900303;38,512967329067;10464705
"280";"10029";0;38,5059027777778;273416
"281";"PM11981";74,2420446851726;38,4959377115775;7729752
"282";"29300";0;38,4621676891616;242276
"283";"PM10612";81,6392724823173;38,4237116874368;5202685
"284";"05011";0;38,4089490114464;3271549
"285";"97078";0;38,3976446137859;1838240
"286";"16022";0;38,382720333102;2675966
"287";"21019";0;38,3540006927606;4292312
"288";"13543";0;38,3460339452719;453087
"289";"PM41891";88,6805789296533;38,3096600471222;5190384
"290";"47409";0;38,2813570938999;187655
"291";"20003";0;38,1967440249394;4510788
"292";"13053";0;38,18456725756;240301
"293";"PM20442";78,803317535545;38,1807718348003;5033638
"294";"06042";0;38,1578578928946;1572295
"295";"43032";0;38,1512992455993;558562
"296";"09001";0;38,1243936243936;1906964
"297";"21020";0;38,1242785686803;4552642
"298";"57019";0;38,0948805460751;445541
"299";"46037";0;38,0777891504606;1698754
"300";"16011";0;38,0213585434174;2228948
"301";"16023";0;37,9986038394415;2360851
"302";"18002";0;37,9867734075879;1373568
"303";"19018";0;37,9867525957752;1680525
"304";"97079";0;37,9788708001386;1811545
"305";"PM41881";85,9831706496129;37,9707169303265;5118437
"306";"17036";0;37,9425008659508;1000725
"307";"97520";0;37,9051094890511;2443134
"308";"36019";0;37,8867924528302;9762
"309";"35021";0;37,8465535157603;438897
"310";"41401";0;37,8010917775503;446667
"311";"13039";0;37,7897384305835;765216
"312";"90015";0;37,7792792792793;718749
"313";"22005";0;37,7589565217391;2207364
"314";"90041";0;37,7516453065466;805899
"315";"PM30471";75,4359406608227;37,7309507754552;4958096
"316";"76008";0;37,6765609007165;1445360
"317";"16016";0;37,6401820091005;2269365
"318";"05016";0;37,6359206404455;3794555
"319";"PM10941";85,614607876136;37,5079097946819;7558110
"320";"PM10472";73,40020229265;37,4929197572488;9583898
"321";"PM20151";85,842477280377;37,4759340289465;9726503
"322";"PM20441";85,4041976980366;37,4167230873392;10021369
"323";"PM10001";74,4163581285762;37,4025580612588;7066659
"324";"PM10901";83,5230562100303;37,4005385392124;7511025
"325";"53410";0;37,3952772073922;362884
"326";"38010";0;37,3918525703201;1144039
"327";"06018";0;37,3765154139245;795909
"328";"98007";0;37,2623633524206;893289
"329";"09007";0;37,2575389948007;1041519
"330";"47406";0;37,216643258427;223693
"331";"54011";0;37,2139201637666;507233
"332";"13043";0;37,1735365431243;958893
"333";"18018";0;37,1645876645877;1255831
"334";"PM43221";81,8596432177718;37,1585324806462;4916559
"335";"PM20411";84,624027072758;37,151269035533;9918893
"336";"97075";0;37,1499826809837;3933968
"337";"05023";0;37,086078639745;2267637
"338";"56404";0;36,9128187456926;201092
"339";"35010";0;36,8773813647385;694111
"340";"05012";0;36,8691489361702;3243161
"341";"PM20911";83,2255132951868;36,8434870414002;7242766
"342";"15010";0;36,8375616631431;1200595
"343";"97030";0;36,8258064516129;52306
"344";"97021";0;36,8196037539103;2695127
"345";"41055";0;36,7898391812866;2399434
"346";"13051";0;36,7893997893998;2825041
"347";"15007";0;36,7826238660153;5607601
"348";"44006";0;36,742993848257;2469755
"349";"02300";0;36,7277227722772;940634
"350";"06025";0;36,721163837894;4147561
"351";"14003";0;36,7137404580153;2395091
"352";"35047";0;36,6532732940769;561765
"353";"45401";0;36,6229955646537;473341
"354";"PM10662";78,3415291343887;36,6018861569552;9633888
"355";"09017";0;36,5739521995151;1183977
"356";"46405";0;36,5674456744567;267257
"357";"06309";0;36,56;1550
"358";"06310";0;36,56;1550
"359";"82018";0;36,5325700750099;530192
"360";"PM10832";79,2281471481606;36,5086061424232;9509666
"361";"46408";0;36,4754269780411;284052
"362";"09024";0;36,4402493938344;2984639
"363";"PM20322";83,9902389767755;36,4254459777853;7309991
"364";"06009";0;36,4082437275986;995587
"365";"06030";0;36,3990301350883;2595988
"366";"16010";0;36,3805217391304;2186337
"367";"49011";0;36,3325203252033;1057794
"368";"13044";0;36,312676056338;693721
"369";"16046";0;36,2546842470507;3804397
"370";"49012";0;36,1594776414721;1170645
"371";"PM10441";83,6995954146999;36,145987862441;7118837
"372";"21012";0;36,1446911866759;2238364
"373";"13041";0;36,1222722549359;1811475
"374";"28008";0;36,1008751727315;475073
"375";"PM20831";77,9036712697878;36,0970023576962;7166755
"376";"18015";0;36,0894672631151;1519739
"377";"PM10501";83,0144976399191;36,006068779501;7123523
"378";"15034";0;35,9707686755684;357827
"379";"06037";0;35,9518197573657;1322958
"380";"PM20721";82,4119232064668;35,9461098012799;9549429
"381";"97595";0;35,9446403385049;2455646
"382";"PM10471";83,531692515172;35,922117329737;7079567
"383";"02017";0;35,911326636647;2149123
"384";"46022";0;35,8818051575931;536380
"385";"06024";0;35,8643773846687;3945311
"386";"13047";0;35,8555594042258;524580
"387";"21031";0;35,8494623655914;293119
"388";"21016";0;35,817637669593;1611669
"389";"24018";0;35,7529530880864;800873
"390";"06028";0;35,7163194444444;2011012
"391";"PM11168";92,2430158195894;35,7014473241333;4860553
"392";"25005";0;35,6903633491311;259630
"393";"44015";0;35,6853658536585;1411057
"394";"13023";0;35,6567370973329;1429861
"395";"06017";0;35,6220183486239;612292
"396";"32016";0;35,6051264288188;592676
"397";"97521";0;35,6044490789016;1195305
"398";"98022";0;35,5912863070539;1078325
"399";"02045";0;35,5904365904366;1554455
"400";"PM20971";86,5099293167284;35,5718613261528;7165422
"401";"17017";0;35,524255024255;1545579
"402";"PM11108";89,1804713804714;35,5225589225589;4825859
"403";"PM20661";84,2111822162344;35,486022229707;7104050
"404";"17013";0;35,4844074844075;2420994
"405";"22002";0;35,4620187304891;461957
"406";"06021";0;35,4298579840665;2535689
