IDELEM,N,10,0;TIPO_ELEM,N,10,0;COD_CENT,C,254;NOMBRE,C,254;COORD_X,N,21,6;COORD_Y,N,21,6;Long;Lat
5772;495;97021;Av. Reina Victoria E-O  - Esquina Pablo Iglesias;439988.932604;4477842.497482;-3.70896281;40.44719776
5773;495;97022;Av. Reina Victoria E-O   - Gral. Ibañez Ibero - Estudiantes;439824.270074;4477802.811652;-3.71090066;40.44682835
5774;495;97024;Av. Moncloa O-E  - La Granja - Del Valle;439344.651830;4477759.799868;-3.71655190;40.44640601
5775;495;97025;Av. Reina Victoria O-E - Av. Del Valle - Guzman Bueno;439537.285934;4477691.392196;-3.71427398;40.44580381
5776;495;97026;Av. Reina Victoria O-E  - Guzman Bueno - Gral. Ibañez Ibero;439730.459648;4477752.793746;-3.71200206;40.44637097
5777;495;97027;Av. Reina Victoria O-E  - Gral. Ibañez Ibero - Pablo Iglesias;439904.898393;4477808.152283;-3.70995045;40.44688229
5778;495;97030;Gral. Ibañez Ibero S-N  - Francisco Sales - Reina Victoria;439865.282549;4477720.403235;-3.71040925;40.44608894
5779;495;97031;Estudiantes N-S - Juan Montalvo - Reina Victoria;439688.350516;4477815.563238;-3.71250454;40.44693337
5780;495;97032;Av. Del Valle S-N - Gral. Asensio Cabanillas - R. Victoria;439492.562504;4477604.918926;-3.71479308;40.44502156
5781;495;97302;MICROREGULACIÓN  - Interno Gta. (delante Gr.5) -  Interno Gta. (delante Gr.5);438471.982433;4477017.050991;-3.72676981;40.43965086
5782;495;97403;Dr. Teófilo Hernando N-S - J. Montalvo - Reina Victoria;439486.191907;4477719.246365;-3.71487909;40.44605100
5783;495;40001;Av. Buenos Aires   - Arroyo del Olivar-Av. Palomeras;444679.051748;4471230.572990;-3.65308357;40.38795888
5784;495;40002;Av. Palomeras  - Pedro Laborde-Av. Buenos Aires;444778.811151;4471086.846972;-3.65189581;40.38667072
5785;495;40003;Av. Buenos Aires - Río Iguazú-Av. Palomeras;444684.578747;4471002.106472;-3.65299861;40.38590107
5786;495;40004;Av. Buenos Aires - Av. Pablo Neruda-Pedro Laborde;444691.563077;4470658.693910;-3.65288650;40.38280786
