cod,nombre,Lat,Long,ocupacion,intensidad
2040,DR. ESQUERDO S-N - ASTROS-PEZ VOLADOR,40.411709,-3.669684,43,1900
2041,DR. ESQUERDO N-S - AV. NAZARET-ARIAS MONTANO,40.411011,-3.669935,3,1100
2042,DR. ESQUERDO S-N - ESTRELLA POLAR-ASTROS,40.410167,-3.669840,78,320
2043,(TACTICO) ALCALDE SAINZ BARANDA E-O - (GIRO M-30),40.421468,-3.661399,76,980
2044,AV. CIUDAD BARCELONA E-O - GUTENBERG-JULIAN GAYARRE,40.404725,-3.681970,86,360
2045,AV. CIUDAD BARCELONA O-E - ANTONIO NEBRIJA-COMERCIO,40.404640,-3.681977,5,640
2046,AV. MENENDEZ PELAYO N-S - GRANADA-AV. CIUDAD BARCELONA,40.404932,-3.680547,2,300
2047,AV. CIUDAD BARCELONA O-E - JUAN URBIETA-COMERCIO,40.403965,-3.680039,34,1180
2048,DR. ESQUERDO N-S  - VALDERRIBAS-AV. CIUDAD BARCELONA,40.402098,-3.674210,4,440
2049,(AFOROS) AV. CIUDAD BARCELONA O-E - CATALINA SUAREZ-DR. ESQUERDO,40.400564,-3.673401,15,1420
2050,AV. CIUDAD BARCELONA O-E - ALBERCHE-PEDRO BOSCH,40.401772,-3.675901,4,480
2051,(AFOROS) AV. CIUDAD BARCELONA E-O - EL CAFETO-SECO,40.399884,-3.672357,5,860
2052,SECO S-N - (ENTRADA AV. CIUDAD BARCELONA),40.399007,-3.671943,4,220
2053,(TACTICO) COMERCIO N-S - AV. CIUDAD  BARCELONA-TELLEZ GIRO IZQ.,40.403539,-3.681424,7,340
2054,COMERCIO S-N - AV. CIUDAD BARCELONA-TELLEZ,40.403636,-3.681249,7,840
2055,AV.  MEDITERRANEO 117 E-O - ABTAO-PL. MARIANO CAVIA,40.407325,-3.675859,21,1460
2056,CAVANILLES E-O - NARCISO SERNA-PL. MARIANO CAVIA,40.406964,-3.677915,8,540
2057,MENENDEZ PELAYO S-N - VALDERRIBAS-PL. MARIANO CAVIA,40.406558,-3.679359,11,1240
2058,REINA CRISTINA O-E - ANDRES TORREJON-GUTEMBERG,40.407287,-3.679766,3,520
