"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"147";"06507";0;39,5381666085744;3996877
"148";"97001";0;39,5381666085744;3996833
"149";"06029";0;39,534078993359;2348356
"150";"PM20572";79,2800417972832;39,4789272030651;10102422
"151";"98004";0;39,4520500347463;605758
"152";"06309";0;39,4210526315789;0
"153";"06310";0;39,4210526315789;0
"154";"01301";0;39,3764940239044;1639345
"155";"44022";0;39,3066481030282;2817424
"156";"67406";0;39,2254254949635;292007
"157";"17045";0;39,217300313917;2947557
"158";"16039";0;39,2152317880795;20
"159";"01303";0;39,0815324165029;1126769
"160";"PM21081";86,2303664921466;39,0471204188482;9980565
"161";"PM10611";82,0588850174216;39,0317073170732;10185609
"162";"PM11301";77,1478076379067;38,9695898161245;4922205
"163";"15008";0;38,9285714285714;6310
"164";"14026";0;38,9142857142857;1240
"165";"36018";0;38,8575399583044;676671
"166";"30028";0;38,8412421493371;1043440
"167";"06302";0;38,7937411095306;1131744
"168";"13025";0;38,7836504580691;4275374
"169";"16302";0;38,6973633931983;421271
"170";"PM23187";79,3368164402647;38,6266109369558;7409341
"171";"51031";0;38,5767214260748;348239
"172";"61083";0;38,5510489510489;1968994
"173";"82019";0;38,5330090340514;711123
"174";"16009";0;38,5274131274131;361408
"175";"10004";0;38,46706169397;2161705
"176";"05010";0;38,4208871812784;3966163
"177";"32020";0;38,3888888888889;26450
"178";"01021";0;38,3350785340314;831177
"179";"16008";0;38,2192513368984;2092814
"180";"PM40754";58,569139672588;38,216649251132;3512775
"181";"43032";0;38,2119831814996;686287
"182";"PM20664";69,3866248693835;38,183908045977;2462511
"183";"PM10661";83,6620209059233;38,0668989547038;7257183
"184";"16026";0;37,9798850574713;2057063
"185";"02303";0;37,9327291739282;1274221
"186";"35017";0;37,9088339222615;439279
"187";"84036";0;37,8551580409865;1437607
"188";"17500";0;37,8286810886253;2756759
"189";"16023";0;37,7363184079602;2129300
"190";"05019";0;37,7122905027933;2898307
"191";"09022";0;37,6728287408441;2105447
"192";"01020";0;37,6265270506108;571701
"193";"20007";0;37,6002795248078;228826
"194";"PM13202";78,5700348432056;37,5787456445993;7293917
"195";"18008";0;37,477972027972;4717292
"196";"14018";0;37,4679733986699;869081
"197";"97004";0;37,4437086092715;714103
"198";"16028";0;37,4165384615385;2382386
"199";"16011";0;37,3967037178996;1994822
"200";"PM11981";74,3703832752613;37,38606271777;7289619
"201";"16018";0;37,3101851851852;571828
"202";"06015";0;37,2859145059566;3611432
"203";"18304";0;37,2628093412339;3666398
"204";"97093";0;37,2286924298571;881000
"205";"22005";0;37,2097457627119;1732349
"206";"14003";0;37,1855598186257;2420084
"207";"PM41891";89,0947735191638;37,1445993031359;4852204
"208";"PM13101";69,7317073170732;37,1324041811847;4272253
"209";"PM10341";85,2170731707317;37,1247386759582;7187243
"210";"PM10711";86,9787456445993;37,0668989547038;9715245
"211";"11023";0;37,0403063280935;986427
"212";"PM20852";77,7961672473868;36,9871080139373;9104691
"213";"PM41881";86,2915360501567;36,9651689306862;4798413
"214";"44014";0;36,9133008356546;1317222
"215";"19008";0;36,8870337477798;765306
"216";"38010";0;36,7777777777778;544599
"217";"33011";0;36,7489525139665;638253
"218";"16308";0;36,6864244741874;3451059
"219";"06304";0;36,6545713269299;938131
"220";"62017";0;36,6428571428571;20
"221";"23001";0;36,6266991983269;2293343
"222";"21013";0;36,6211223422795;3991666
"223";"98026";0;36,5976331360947;1312641
"224";"05009";0;36,5939139559286;2210834
"225";"18308";0;36,5723248518648;612360
"226";"13040";0;36,5635031402652;2417207
"227";"13056";0;36,5471898197243;49594
"228";"16307";0;36,5396399846802;3227216
"229";"17007";0;36,4944173063503;2303055
"230";"57019";0;36,4841739130435;418967
"231";"PM20442";79,3747823058168;36,4813653779171;4650017
"232";"41044";0;36,4732267037552;677459
"233";"PM10612";81,8324041811847;36,4418118466899;4764460
"234";"46405";0;36,4341549295775;288693
"235";"PM20026";75,5163763066202;36,4160278745645;4771407
"236";"40005";0;36,3999301432064;1322753
"237";"90041";0;36,3981125480601;761775
"238";"53410";0;36,3703059805285;346326
"239";"47409";0;36,3279663983199;174329
"240";"PM10001";75,5684907633322;36,3004531195539;6602090
"241";"PM10941";85,401393728223;36,2912891986063;7007908
"242";"46022";0;36,2478823004904;323881
"243";"47534";0;36,236193122612;1241765
"244";"PM104431";67,2912891986063;36,2160278745645;2517782
"245";"62028";0;36,1988781234064;138805
"246";"90015";0;36,1859086152773;682857
"247";"17044";0;36,1828793774319;25789
"248";"17010";0;36,1750959190792;2488644
"249";"PM10901";83,4310104529617;36,1735191637631;6982613
"250";"97030";0;36,1525423728814;18079
"251";"PM30471";76,229188436085;36,1522117729014;4598987
"252";"15007";0;36,1486013986014;5469077
"253";"45013";0;36,1296489398679;365629
"254";"10029";0;36,1198881509962;249431
"255";"26012";0;36,0659951372004;4564398
"256";"65034";0;36,0441125390761;628034
"257";"16010";0;36,0248447204969;1937852
"258";"PM20441";85,388018112156;36,0191570881226;9345581
"259";"09035";0;36,0028818443804;898938
"260";"18017";0;35,9982572324852;688879
"261";"01032";0;35,9883720930233;4267637
"262";"15034";0;35,9774758670004;361395
"263";"05011";0;35,953179594689;3014898
"264";"82018";0;35,9480655280586;582919
"265";"13053";0;35,9152957647882;219156
"266";"PM10472";74,11393728223;35,8909407665505;8861902
"267";"97079";0;35,8888114325549;1672349
"268";"PM20151";86,2282229965157;35,8578397212544;8979400
"269";"18013";0;35,8494060097834;3497250
"270";"16019";0;35,8149575944487;2100748
"271";"49012";0;35,8113928447378;1319372
"272";"34033";0;35,7857142857143;260
"273";"PM20411";84,9878048780488;35,779094076655;9263150
"274";"13024";0;35,7577842143374;1118332
"275";"35016";0;35,7271458478716;611773
"276";"06301";0;35,639855942377;8230
"277";"54011";0;35,6071552622438;475485
"278";"PM20911";82,9763066202091;35,5843205574913;6683358
"279";"56404";0;35,4879832810867;192116
"280";"46037";0;35,4212721584984;1557047
"281";"21010";0;35,3169284467714;4162398
"282";"16046";0;35,3119723714505;3345641
"283";"62023";0;35,3056603773585;128008
"284";"21020";0;35,2920878354827;4679822
"285";"05016";0;35,2442348008386;3550633
"286";"14016";0;35,1409138472271;2426627
"287";"15010";0;35,1394690265487;1135166
"288";"18002";0;35,1220362622036;1268097
"289";"PM10662";78,5445993031359;35,1219512195122;8912782
"290";"61099";0;35,0920954511559;283460
"291";"41401";0;35,068426536992;411631
"292";"16004";0;35,0340084065724;2000144
