"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"1";"67013";0;82,882538569425;2856834
"2";"PM41453";-1;74,5087601078167;5558919
"3";"PM20976";73,3370295698925;59,4882392473118;4188890
"4";"17035";0;58,560600887675;581720
"5";"10021";0;57,6203765971755;1122406
"6";"16038";0;57,2225519287834;62822
"7";"15015";0;57,1382333108564;1191021
"8";"34013";0;54,5655369538587;693492
"9";"18011";0;54,5156302521008;2997376
"10";"02057";0;54,4773074961754;962970
"11";"22300";0;54,2161344537815;2604145
"12";"18301";0;53,4982468443198;1714934
"13";"97301";0;53,208248125426;2438062
"14";"97402";0;53,208248125426;2438062
"15";"15301";0;52,7076660988075;2166936
"16";"14042";0;52,3738601823708;142438
"17";"93002";0;52,0229508196721;917383
"18";"62072";0;51,6164383561644;11892
"19";"PM10981";83,1024865591398;51,5386424731183;10851262
"20";"32301";0;51,3780104712042;892643
"21";"10005";0;50,9250374812594;1009046
"22";"15303";0;50,5168745414527;1382794
"23";"PM11101";80,4146505376344;50,440188172043;7044833
"24";"01030";0;50,2030934767989;2312299
"25";"38048";0;50,1441226575809;1267749
"26";"41404";0;49,9832191780822;445389
"27";"12008";0;49,9275312066574;4360876
"28";"18303";0;49,749649368864;1839136
"29";"PM10945";72,6999327956989;49,5315860215054;3397030
"30";"18006";0;48,943771043771;2635711
"31";"60073";0;48,8800251256281;2506218
"32";"06306";0;48,6968676321994;1571104
"33";"06307";0;48,6968676321994;1571108
"34";"97303";0;48,651212553495;29919
"35";"16303";0;48,4381304640215;2188080
"36";"90044";0;48,4109449354181;410194
"37";"06301";0;48,2920353982301;4905
"38";"PM31453";-1;48,19474393531;6618826
"39";"15001";0;48;0
"40";"18302";0;47,8997194950912;1717190
"41";"17307";0;47,8463349024882;1793646
"42";"15006";0;47,7652262674379;3629180
"43";"16304";0;47,6314727639543;2408006
"44";"PM42052";71,4889112903226;47,3820564516129;3423050
"45";"56407";0;47,2582208376601;639778
"46";"06300";0;47,1977096665544;1572163
"47";"02043";0;46,8820168067227;1068706
"48";"06035";0;46,7859589041096;2829411
"49";"57010";0;46,7479338842975;1161123
"50";"PM20041";82,7842741935484;46,6280241935484;9572021
"51";"09012";0;46,4599853157122;1966255
"52";"PM10091";80,414314516129;46,3531586021505;9478717
"53";"41056";0;46,2783469945355;955110
"54";"46404";0;46,136606189968;230523
"55";"06305";0;45,8979797979798;1299142
"56";"PM10561";82,692799461642;45,7893674293405;9324311
"57";"14004";0;45,6674512441157;927105
"58";"62038";0;45,6515151515151;5015
"59";"16301";0;45,6479488903833;2260340
"60";"17308";0;45,5481157469717;2089527
"61";"15305";0;45,5207956600362;120222
"62";"32300";0;45,2592592592593;8258
"63";"41018";0;45,1010928961749;380995
"64";"02301";0;45,0568067226891;965721
"65";"25005";0;45,0244070127191;429183
"66";"PM21181";83,4801747311828;44,9217069892473;9039900
"67";"15304";0;44,9177343223196;1970058
"68";"32015";0;44,8535294117647;201236
"69";"47402";0;44,7332650273224;540278
"70";"PM13041";59,2579993263725;44,6190636577972;2641796
"71";"36018";0;44,5995236474991;774427
"72";"16514";0;44,5531271015467;1271207
"73";"38004";0;44,1380838731674;399776
"74";"09015";0;44,1344989912576;3224023
"75";"17015";0;44,0961667787492;3132666
"76";"45038";0;44,0714285714286;0
"77";"01031";0;43,9763752953088;2730806
"78";"01012";0;43,9763752953088;2730836
"79";"PM11161";84,9798387096774;43,8212365591398;8983199
"80";"PM20473";72,726814516129;43,7637768817204;2988474
"81";"15302";0;43,7561969439728;1508554
"82";"21023";0;43,7300840336134;301627
"83";"21009";0;43,7052416609939;2949442
"84";"PM20233";76,1831317204301;43,6401209677419;2959809
"85";"PM11071";87,6246639784946;43,6192876344086;11867245
"86";"18020";0;43,5253781512605;1126742
"87";"97306";0;43,5151311365165;293122
"88";"16300";0;43,4512441156691;2170678
"89";"31048";0;43,40625;760
"90";"64403";0;43,2455601092896;317008
"91";"12004";0;43,1088646967341;3217137
"92";"14015";0;43,0769230769231;1830
"93";"06310";0;43,075;0
"94";"06309";0;43,075;0
"95";"11033";0;43;2257035
"96";"97597";0;42,9979825151311;1426965
"97";"43018";0;42,9915966386555;6187073
"98";"06027";0;42,961277173913;3200986
"99";"10033";0;42,8826339133402;528361
"100";"90033";0;42,827168796234;1092882
"101";"01003";0;42,7561898211829;3045282
"102";"01304";0;42,6626303397242;1631403
"103";"05008";0;42,6407766990291;2252835
"104";"90016";0;42,5472543892417;1972349
"105";"90040";0;42,5221923335575;757578
"106";"60079";0;42,5;0
"107";"60020";0;42,4193548387097;0
"108";"61008";0;42,3709677419355;0
"109";"10026";0;42,2994957983193;548852
"110";"06302";0;42,2643097643098;1299897
"111";"60070";0;42,258487394958;842396
"112";"62017";0;42,2325581395349;0
"113";"62073";0;42,2325581395349;0
"114";"22302";0;42,1724369747899;1756114
"115";"PM10661";84,3645833333333;42,1693548387097;8420968
"116";"13059";0;42,1103588354773;2126632
"117";"92005";0;42,0673076923077;0
"118";"29302";0;41,9565217391304;240
"119";"14044";0;41,9493278179938;311174
"120";"16035";0;41,8202966958867;3373045
"121";"PM20722";76,1639784946236;41,8148521505376;8180873
"122";"16048";0;41,7780020181635;1739626
"123";"98022";0;41,7729435757988;1789742
"124";"17306";0;41,7638748738648;1648605
"125";"16021";0;41,6705921938089;517392
"126";"10031";0;41,6008188331627;2258302
"127";"15009";0;41,5950608930988;4848541
