EstCod,Par,Tec,Pe,Datum,NO2
28079004,8,8,2,dom 28-09 09,24
28079004,8,8,2,dom 28-09 10,26
28079004,8,8,2,dom 28-09 11,19
28079004,8,8,2,dom 28-09 12,25
28079004,8,8,2,dom 28-09 13,26
28079004,8,8,2,dom 28-09 14,34
28079004,8,8,2,dom 28-09 15,38
28079004,8,8,2,dom 28-09 16,30
28079004,8,8,2,dom 28-09 17,29
28079004,8,8,2,dom 28-09 18,44
28079004,8,8,2,dom 28-09 19,50
28079004,8,8,2,dom 28-09 20,60
28079004,8,8,2,dom 28-09 21,70
28079004,8,8,2,dom 28-09 22,70
28079004,8,8,2,dom 28-09 23,61
28079004,8,8,2,lun 29-09 00,49
28079004,8,8,2,lun 29-09 01,45
28079004,8,8,2,lun 29-09 02,35
28079004,8,8,2,lun 29-09 03,38
28079004,8,8,2,lun 29-09 04,31
28079004,8,8,2,lun 29-09 05,32
28079004,8,8,2,lun 29-09 06,24
28079004,8,8,2,lun 29-09 07,31
28079004,8,8,2,lun 29-09 08,37
28079004,8,8,2,lun 29-09 09,37
28079004,8,8,2,lun 29-09 10,42
28079004,8,8,2,lun 29-09 11,52
28079004,8,8,2,lun 29-09 12,53
28079004,8,8,2,lun 29-09 13,33
28079004,8,8,2,lun 29-09 14,27
28079004,8,8,2,lun 29-09 15,21
28079004,8,8,2,lun 29-09 16,20
28079004,8,8,2,lun 29-09 17,21
28079004,8,8,2,lun 29-09 18,28
28079004,8,8,2,lun 29-09 19,43
28079004,8,8,2,lun 29-09 20,74
28079004,8,8,2,lun 29-09 21,80
28079004,8,8,2,lun 29-09 22,76
28079004,8,8,2,lun 29-09 23,70
28079004,8,8,2,mar 30-09 00,52
28079004,8,8,2,mar 30-09 01,38
28079004,8,8,2,mar 30-09 02,29
28079004,8,8,2,mar 30-09 03,27
28079004,8,8,2,mar 30-09 04,19
28079004,8,8,2,mar 30-09 05,17
28079004,8,8,2,mar 30-09 06,18
28079004,8,8,2,mar 30-09 07,26
28079004,8,8,2,mar 30-09 08,38
28079004,8,8,2,mar 30-09 09,49
28079004,8,8,2,mar 30-09 10,58
28079004,8,8,2,mar 30-09 11,51
28079004,8,8,2,mar 30-09 12,46
28079004,8,8,2,mar 30-09 13,39
28079004,8,8,2,mar 30-09 14,37
28079004,8,8,2,mar 30-09 15,30
28079004,8,8,2,mar 30-09 16,30
28079004,8,8,2,mar 30-09 17,34
28079004,8,8,2,mar 30-09 18,66
28079004,8,8,2,mar 30-09 19,73
28079004,8,8,2,mar 30-09 20,122
28079004,8,8,2,mar 30-09 21,128
28079004,8,8,2,mar 30-09 22,99
28079004,8,8,2,mar 30-09 23,75
